"ID","NAME","DESCRIPTION","ARK_FUNCTION_TYPE_ID","RESOURCE_KEY"
25,"REPORT_STUDYCOMPCONSENT","Study Component Consent Details Report lists detailed subject information for a particular study based on their consent status for a specific study component.",2,"NULL"
26,"REPORT_PHENOFIELDDETAILS","Phenotypic Field Details Report (Data Dictionary) lists detailed field information for a particular study based on their associated phenotypic data set.",2,"NULL"
27,"GENO_COLLECTION","Genotypic Collection use case. This is represented by the Collection tab, under the main Genotypic Menu",1,"tab.module.geno.collection"
28,"ROLE_POLICY_TEMPLATE","Allows CRUD operations on the ark_role_policy_template table for the Ark application",1,"tab.module.admin.rolePolicyTemplate"
29,"MODULE","Allows CRUD operations on the ark_module table for the Ark application",1,"tab.module.admin.module"
30,"FUNCTION","Allows CRUD operations on the ark_function table for the Ark application",1,"tab.module.admin.function"
33,"REPORT_STUDY_USER_ROLE_PERMISSIONS","Study User Role Permissions Report lists all user role and permissions for the study in context.",2,"NULL"
34,"SUBJECT_CUSTOM_DATA","Data entry for Subject Custom Fields.",1,"tab.module.subject.subjectcustomdata"
35,"LIMS_COLLECTION_CUSTOM_FIELD","Manage Custom Fields for LIMS collections.",1,"tab.module.lims.collectioncustomfield"
36,"LIMS_COLLECTION_CUSTOM_DATA","Data entry for LIMS collection Custom Fields.",1,"tab.module.lims.collectioncustomdata"
37,"BIOSPECIMEN_CUSTOM_FIELD","Manage Custom Fields for Biospecimens.",1,"tab.module.lims.biospecimencustomfield"
38,"BIOSPECIMEN_CUSTOM_DATA","Data entry for Biospecimen Custom Fields.",1,"tab.module.lims.biospecimencustomdata"
41,"BIOSPECIMENUID_TEMPLATE","Manage BiospecimenUid templates for the study,",1,"tab.module.lims.biospecimenuidtemplate"
42,"BARCODE_LABEL","Manage barcode label definitions the study,",1,"tab.module.lims.barcodelabel"
43,"BARCODE_PRINTER","Manage barcode printers for the study,",1,"tab.module.lims.barcodeprinter"
44,"MODULE_FUNCTION","Allows CRUD operations on the ark_module_function table for the Ark application",1,"tab.module.admin.modulefunction"
45,"ROLE","Allows CRUD operations on users roles",1,"tab.module.admin.role"
46,"MODULE_ROLE","Allows CRUD operations on module_role table",1,"tab.module.admin.modulerole"
47,"BIOSPECIMEN_UPLOAD","Uploader for bispecimens",1,"tab.module.lims.biospecimenUpload"
50,"SUBJECT_CUSTOM_FIELD_UPLOAD","Uploader for Subject Custom Fields",1,"tab.module.subject.subjectCustomFieldUpload"
51,"BIOCOLLECTION_CUSTOM_FIELD_UPLOAD","Uploader for BioCollection Custom Fields",1,"tab.module.lims.bioCollectionCustomFieldUpload"
52,"BIOSPECIMEN_CUSTOM_FIELD_UPLOAD","Uploader for Biospecimen Custom Fields",1,"tab.module.lims.biospecimenCustomFieldUpload"
54,"RESEARCHER","Researcher use case",1,"tab.module.work.researcher"
55,"BILLABLE_ITEM_TYPE","Billable item type use case",1,"tab.module.work.billableitemtype"
56,"WORK_REQUEST","Work Request tab",1,"tab.module.work.workrequest"
57,"BILLABLE_ITEM","Billable Item Tab",1,"tab.module.work.billableitem"
58,"BIOSPECIMEN_AND_BIOCOLLECTION_CUSTOM_FIELD_UPLOAD","Uploader for both Biospecimen and Biocollection Custom Fields",1,"tab.module.lims.bioupload"
